Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	Ka	Value	Triangle
KAZ14054	E_289	A	E	A_06	E_08	Autosomes	K = 6	-0.003108	Individual
KAZ14054	E_289	A	E	A_06	E_08	Allosome	K = 7	 0.039756	Individual
KAZ14035	E_289	A	E	A_04	E_08	Autosomes	K = 4	-0.005300	Individual
KAZ14035	E_289	A	E	A_04	E_08	Autosomes	K = 7	-0.005300	Individual
KAZ14032	E_289	A	E	A_03	E_08	Allosome	K = 5	-0.021464	Individual
KAZ14057	E_289	A	E	A_08	E_08	Autosomes	K = 4	-0.002480	Individual
KAZ14053	E_289	A	E	A_05	E_08	Autosomes	K = 6	-0.006780	Individual
KAZ14054	E_289	A	E	A_06	E_08	Allosome	K = 3	 0.004043	Individual
KAZ14053	E_289	A	E	A_05	E_08	Allosome	K = 6	-0.001561	Individual
KAZ14001	E_289	A	E	A_01	E_08	Autosomes	K = 7	-0.007545	Individual
KAZ14003	E_289	A	E	A_02	E_08	Autosomes	K = 6	-0.005603	Individual
KAZ14061	E_289	A	E	A_10	E_08	Autosomes	K = 6	-0.007250	Individual
KAZ14054	E_289	A	E	A_06	E_08	Allosome	K = 2	 0.030350	Individual
KAZ14001	E_289	A	E	A_01	E_08	Autosomes	K = 5	-0.007545	Individual
KAZ14035	E_289	A	E	A_04	E_08	Autosomes	K = 6	-0.005300	Individual
KAZ14055	E_289	A	E	A_07	E_08	Allosome	K = 2	-0.025823	Individual
KAZ14054	E_289	A	E	A_06	E_08	Autosomes	K = 4	-0.003108	Individual
KAZ14053	E_289	A	E	A_05	E_08	Allosome	K = 5	-0.001616	Individual
KAZ14061	E_289	A	E	A_10	E_08	Allosome	K = 5	-0.046064	Individual
KAZ14054	E_289	A	E	A_06	E_08	Allosome	K = 5	 0.004063	Individual
KAZ14054	E_289	A	E	A_06	E_08	Autosomes	K = 2	 0.000014	Individual
KAZ14032	E_289	A	E	A_03	E_08	Autosomes	K = 2	 0.000140	Individual
KAZ14059	E_289	A	E	A_09	E_08	Allosome	K = 4	-0.061658	Individual
KAZ14035	E_289	A	E	A_04	E_08	Autosomes	K = 3	-0.005300	Individual
KAZ14032	E_289	A	E	A_03	E_08	Autosomes	K = 6	-0.003428	Individual
KAZ14059	E_289	A	E	A_09	E_08	Autosomes	K = 6	-0.006129	Individual
KAZ14055	E_289	A	E	A_07	E_08	Autosomes	K = 2	-0.001185	Individual
KAZ14001	E_289	A	E	A_01	E_08	Autosomes	K = 4	-0.007545	Individual
KAZ14055	E_289	A	E	A_07	E_08	Autosomes	K = 3	-0.004109	Individual
KAZ14001	E_289	A	E	A_01	E_08	Allosome	K = 6	-0.083136	Individual
KAZ14035	E_289	A	E	A_04	E_08	Autosomes	K = 2	-0.002320	Individual
KAZ14057	E_289	A	E	A_08	E_08	Autosomes	K = 7	-0.002480	Individual
KAZ14057	E_289	A	E	A_08	E_08	Autosomes	K = 6	-0.002480	Individual
KAZ14054	E_289	A	E	A_06	E_08	Allosome	K = 6	 0.004081	Individual
KAZ14053	E_289	A	E	A_05	E_08	Autosomes	K = 7	-0.006780	Individual
KAZ14061	E_289	A	E	A_10	E_08	Autosomes	K = 3	-0.007250	Individual
KAZ14032	E_289	A	E	A_03	E_08	Autosomes	K = 5	-0.003428	Individual
KAZ14053	E_289	A	E	A_05	E_08	Allosome	K = 2	 0.022253	Individual
KAZ14057	E_289	A	E	A_08	E_08	Allosome	K = 6	-0.054659	Individual
KAZ14057	E_289	A	E	A_08	E_08	Allosome	K = 5	-0.054558	Individual
KAZ14001	E_289	A	E	A_01	E_08	Autosomes	K = 3	-0.007545	Individual
KAZ14003	E_289	A	E	A_02	E_08	Allosome	K = 7	-0.005158	Individual
KAZ14057	E_289	A	E	A_08	E_08	Autosomes	K = 5	-0.002480	Individual
KAZ14001	E_289	A	E	A_01	E_08	Allosome	K = 4	-0.083158	Individual
KAZ14053	E_289	A	E	A_05	E_08	Autosomes	K = 5	-0.006780	Individual
KAZ14003	E_289	A	E	A_02	E_08	Allosome	K = 6	-0.050364	Individual
KAZ14053	E_289	A	E	A_05	E_08	Allosome	K = 3	-0.001638	Individual
KAZ14003	E_289	A	E	A_02	E_08	Allosome	K = 4	-0.050307	Individual
KAZ14035	E_289	A	E	A_04	E_08	Allosome	K = 2	 0.029663	Individual
KAZ14057	E_289	A	E	A_08	E_08	Allosome	K = 7	-0.013740	Individual
KAZ14054	E_289	A	E	A_06	E_08	Autosomes	K = 5	-0.003108	Individual
KAZ14035	E_289	A	E	A_04	E_08	Allosome	K = 7	 0.058043	Individual
KAZ14054	E_289	A	E	A_06	E_08	Autosomes	K = 7	-0.003108	Individual
KAZ14003	E_289	A	E	A_02	E_08	Allosome	K = 3	-0.050451	Individual
KAZ14059	E_289	A	E	A_09	E_08	Allosome	K = 2	-0.029547	Individual
KAZ14059	E_289	A	E	A_09	E_08	Autosomes	K = 2	-0.003391	Individual
KAZ14055	E_289	A	E	A_07	E_08	Autosomes	K = 6	-0.004109	Individual
KAZ14032	E_289	A	E	A_03	E_08	Autosomes	K = 4	-0.003428	Individual
KAZ14055	E_289	A	E	A_07	E_08	Allosome	K = 7	-0.034276	Individual
KAZ14059	E_289	A	E	A_09	E_08	Autosomes	K = 5	-0.006129	Individual
KAZ14061	E_289	A	E	A_10	E_08	Allosome	K = 4	-0.046066	Individual
KAZ14003	E_289	A	E	A_02	E_08	Allosome	K = 2	-0.008344	Individual
KAZ14053	E_289	A	E	A_05	E_08	Allosome	K = 4	-0.001621	Individual
KAZ14053	E_289	A	E	A_05	E_08	Autosomes	K = 3	-0.006780	Individual
KAZ14003	E_289	A	E	A_02	E_08	Autosomes	K = 7	-0.005603	Individual
KAZ14057	E_289	A	E	A_08	E_08	Allosome	K = 4	-0.054555	Individual
KAZ14035	E_289	A	E	A_04	E_08	Allosome	K = 5	-0.006332	Individual
KAZ14001	E_289	A	E	A_01	E_08	Allosome	K = 5	-0.083154	Individual
KAZ14061	E_289	A	E	A_10	E_08	Allosome	K = 3	-0.046131	Individual
KAZ14055	E_292	A	E	A_07	E_09	Allosome	K = 3	 0.026418	Individual
KAZ14055	E_292	A	E	A_07	E_09	Autosomes	K = 4	-0.011694	Individual
KAZ14061	E_292	A	E	A_10	E_09	Allosome	K = 6	-0.098648	Individual
KAZ14061	E_292	A	E	A_10	E_09	Autosomes	K = 7	-0.005793	Individual
KAZ14032	E_292	A	E	A_03	E_09	Autosomes	K = 3	-0.001860	Individual
KAZ14001	E_292	A	E	A_01	E_09	Allosome	K = 2	 0.036504	Individual
KAZ14059	E_292	A	E	A_09	E_09	Allosome	K = 6	-0.076385	Individual
KAZ14054	E_292	A	E	A_06	E_09	Allosome	K = 7	 0.004522	Individual
KAZ14061	E_292	A	E	A_10	E_09	Autosomes	K = 2	-0.001589	Individual
KAZ14057	E_292	A	E	A_08	E_09	Autosomes	K = 4	-0.005586	Individual
KAZ14057	E_292	A	E	A_08	E_09	Allosome	K = 2	-0.024099	Individual
KAZ14054	E_292	A	E	A_06	E_09	Allosome	K = 4	-0.029689	Individual
KAZ14032	E_292	A	E	A_03	E_09	Autosomes	K = 5	-0.001860	Individual
KAZ14054	E_292	A	E	A_06	E_09	Autosomes	K = 3	-0.000931	Individual
KAZ14057	E_292	A	E	A_08	E_09	Allosome	K = 3	-0.051651	Individual
KAZ14055	E_292	A	E	A_07	E_09	Autosomes	K = 7	-0.011694	Individual
KAZ14057	E_292	A	E	A_08	E_09	Autosomes	K = 3	-0.005586	Individual
KAZ14032	E_292	A	E	A_03	E_09	Allosome	K = 7	 0.011021	Individual
KAZ14032	E_292	A	E	A_03	E_09	Allosome	K = 6	-0.041346	Individual
KAZ14059	E_292	A	E	A_09	E_09	Autosomes	K = 3	-0.005593	Individual
KAZ14032	E_292	A	E	A_03	E_09	Autosomes	K = 7	-0.001860	Individual
KAZ14001	E_292	A	E	A_01	E_09	Autosomes	K = 2	 0.002892	Individual
KAZ14055	E_292	A	E	A_07	E_09	Allosome	K = 6	 0.026309	Individual
KAZ14054	E_292	A	E	A_06	E_09	Allosome	K = 3	-0.029661	Individual
KAZ14059	E_292	A	E	A_09	E_09	Allosome	K = 3	-0.076347	Individual
KAZ14003	E_292	A	E	A_02	E_09	Allosome	K = 5	-0.088555	Individual
KAZ14061	E_292	A	E	A_10	E_09	Autosomes	K = 5	-0.005793	Individual
KAZ14053	E_292	A	E	A_05	E_09	Autosomes	K = 6	-0.002556	Individual
KAZ14035	E_292	A	E	A_04	E_09	Autosomes	K = 4	-0.004182	Individual
KAZ14055	E_292	A	E	A_07	E_09	Autosomes	K = 5	-0.011694	Individual
KAZ14053	E_292	A	E	A_05	E_09	Autosomes	K = 2	 0.001032	Individual
KAZ14061	E_292	A	E	A_10	E_09	Autosomes	K = 4	-0.005793	Individual
KAZ14035	E_292	A	E	A_04	E_09	Allosome	K = 4	-0.060712	Individual
KAZ14003	E_292	A	E	A_02	E_09	Autosomes	K = 5	-0.003007	Individual
KAZ14059	E_292	A	E	A_09	E_09	Allosome	K = 5	-0.076358	Individual
KAZ14059	E_292	A	E	A_09	E_09	Allosome	K = 7	-0.031453	Individual
KAZ14054	E_292	A	E	A_06	E_09	Autosomes	K = 2	 0.002749	Individual
KAZ14001	E_292	A	E	A_01	E_09	Autosomes	K = 6	-0.001054	Individual
KAZ14032	E_292	A	E	A_03	E_09	Allosome	K = 3	-0.041357	Individual
KAZ14003	E_292	A	E	A_02	E_09	Autosomes	K = 2	 0.000534	Individual
KAZ14057	E_292	A	E	A_08	E_09	Autosomes	K = 2	-0.002069	Individual
KAZ14053	E_292	A	E	A_05	E_09	Autosomes	K = 4	-0.002556	Individual
KAZ14054	E_292	A	E	A_06	E_09	Autosomes	K = 5	-0.000931	Individual
KAZ14054	E_292	A	E	A_06	E_09	Allosome	K = 2	 0.001450	Individual
KAZ14035	E_292	A	E	A_04	E_09	Autosomes	K = 2	-0.000710	Individual
KAZ14035	E_292	A	E	A_04	E_09	Allosome	K = 6	-0.060681	Individual
KAZ14035	E_292	A	E	A_04	E_09	Autosomes	K = 7	-0.004182	Individual
KAZ14001	E_292	A	E	A_01	E_09	Autosomes	K = 7	-0.001054	Individual
KAZ14001	E_292	A	E	A_01	E_09	Allosome	K = 3	 0.006608	Individual
KAZ14003	E_292	A	E	A_02	E_09	Autosomes	K = 4	-0.003007	Individual
KAZ14055	E_292	A	E	A_07	E_09	Allosome	K = 5	 0.026345	Individual
KAZ14061	E_292	A	E	A_10	E_09	Allosome	K = 7	-0.054495	Individual
KAZ14003	E_292	A	E	A_02	E_09	Autosomes	K = 6	-0.003007	Individual
KAZ14053	E_292	A	E	A_05	E_09	Allosome	K = 5	-0.041088	Individual
KAZ14054	E_292	A	E	A_06	E_09	Autosomes	K = 7	-0.000931	Individual
KAZ14055	E_292	A	E	A_07	E_09	Allosome	K = 4	 0.026351	Individual
KAZ14003	E_292	A	E	A_02	E_09	Allosome	K = 7	-0.046268	Individual
KAZ14059	E_292	A	E	A_09	E_09	Autosomes	K = 6	-0.005593	Individual
KAZ14053	E_292	A	E	A_05	E_09	Allosome	K = 2	-0.006122	Individual
KAZ14003	E_292	A	E	A_02	E_09	Autosomes	K = 3	-0.003007	Individual
KAZ14035	E_292	A	E	A_04	E_09	Allosome	K = 3	-0.060641	Individual
KAZ14053	E_292	A	E	A_05	E_09	Allosome	K = 7	-0.018020	Individual
KAZ14001	E_292	A	E	A_01	E_09	Autosomes	K = 5	-0.001054	Individual
KAZ14055	E_292	A	E	A_07	E_09	Autosomes	K = 2	-0.008064	Individual
KAZ14032	E_292	A	E	A_03	E_09	Autosomes	K = 6	-0.001860	Individual
KAZ14059	E_292	A	E	A_09	E_09	Autosomes	K = 4	-0.005593	Individual
KAZ14053	E_292	A	E	A_05	E_09	Autosomes	K = 7	-0.002556	Individual
KAZ14057	E_292	A	E	A_08	E_09	Autosomes	K = 7	-0.005586	Individual
KAZ14061	E_292	A	E	A_10	E_09	Autosomes	K = 6	-0.005793	Individual
KAZ14057	E_292	A	E	A_08	E_09	Allosome	K = 6	-0.051771	Individual
KAZ14035	E_292	A	E	A_04	E_09	Allosome	K = 2	-0.018551	Individual
KAZ14053	E_292	A	E	A_05	E_09	Allosome	K = 3	-0.041056	Individual
KAZ14054	E_292	A	E	A_06	E_09	Autosomes	K = 4	-0.000931	Individual
KAZ14032	E_292	A	E	A_03	E_09	Autosomes	K = 2	 0.002176	Individual
KAZ14001	E_292	A	E	A_01	E_09	Autosomes	K = 4	-0.001054	Individual
KAZ14035	E_292	A	E	A_04	E_09	Autosomes	K = 6	-0.004182	Individual
KAZ14061	E_292	A	E	A_10	E_09	Allosome	K = 5	-0.098627	Individual
KAZ14057	E_292	A	E	A_08	E_09	Allosome	K = 7	-0.002933	Individual
KAZ14032	E_292	A	E	A_03	E_09	Allosome	K = 4	-0.041264	Individual
KAZ14001	E_292	A	E	A_01	E_09	Allosome	K = 4	 0.006702	Individual
KAZ14057	E_292	A	E	A_08	E_09	Allosome	K = 5	-0.051660	Individual
KAZ14061	E_292	A	E	A_10	E_09	Autosomes	K = 3	-0.005793	Individual
KAZ14055	E_292	A	E	A_07	E_09	Autosomes	K = 3	-0.011694	Individual
KAZ14054	E_292	A	E	A_06	E_09	Allosome	K = 5	-0.029690	Individual
KAZ14057	E_292	A	E	A_08	E_09	Allosome	K = 4	-0.051653	Individual
KAZ14032	E_292	A	E	A_03	E_09	Autosomes	K = 4	-0.001860	Individual
KAZ14032	E_292	A	E	A_03	E_09	Allosome	K = 5	-0.041270	Individual
KAZ14003	E_292	A	E	A_02	E_09	Allosome	K = 4	-0.088552	Individual
KAZ14001	E_292	A	E	A_01	E_09	Allosome	K = 6	 0.006729	Individual
KAZ14001	E_292	A	E	A_01	E_09	Allosome	K = 7	 0.048533	Individual
KAZ14057	E_292	A	E	A_08	E_09	Autosomes	K = 5	-0.005586	Individual
KAZ14055	E_292	A	E	A_07	E_09	Allosome	K = 2	 0.057967	Individual
KAZ14059	E_292	A	E	A_09	E_09	Allosome	K = 2	-0.038171	Individual
KAZ14035	E_292	A	E	A_04	E_09	Autosomes	K = 5	-0.004182	Individual
KAZ14054	E_292	A	E	A_06	E_09	Autosomes	K = 6	-0.000931	Individual
KAZ14035	E_292	A	E	A_04	E_09	Allosome	K = 7	 0.009928	Individual
KAZ14061	E_292	A	E	A_10	E_09	Allosome	K = 2	-0.063051	Individual
KAZ14001	E_292	A	E	A_01	E_09	Autosomes	K = 3	-0.001054	Individual
KAZ14053	E_292	A	E	A_05	E_09	Autosomes	K = 5	-0.002556	Individual
KAZ14057	E_292	A	E	A_08	E_09	Autosomes	K = 6	-0.005586	Individual
KAZ14059	E_292	A	E	A_09	E_09	Autosomes	K = 2	-0.002300	Individual
KAZ14032	E_292	A	E	A_03	E_09	Allosome	K = 2	-0.015574	Individual
KAZ14059	E_292	A	E	A_09	E_09	Allosome	K = 4	-0.076357	Individual
KAZ14003	E_292	A	E	A_02	E_09	Allosome	K = 3	-0.088665	Individual
KAZ14035	E_292	A	E	A_04	E_09	Autosomes	K = 3	-0.004182	Individual
KAZ14053	E_292	A	E	A_05	E_09	Allosome	K = 6	-0.041058	Individual
KAZ14053	E_292	A	E	A_05	E_09	Autosomes	K = 3	-0.002556	Individual
KAZ14003	E_292	A	E	A_02	E_09	Allosome	K = 2	-0.035552	Individual
KAZ14054	E_292	A	E	A_06	E_09	Allosome	K = 6	-0.029676	Individual
KAZ14059	E_292	A	E	A_09	E_09	Autosomes	K = 5	-0.005593	Individual
KAZ14053	E_292	A	E	A_05	E_09	Allosome	K = 4	-0.041088	Individual
KAZ14003	E_292	A	E	A_02	E_09	Autosomes	K = 7	-0.003007	Individual
KAZ14061	E_292	A	E	A_10	E_09	Allosome	K = 3	-0.098655	Individual
KAZ14059	E_292	A	E	A_09	E_09	Autosomes	K = 7	-0.005593	Individual
KAZ14055	E_292	A	E	A_07	E_09	Allosome	K = 7	 0.056126	Individual
KAZ14003	E_292	A	E	A_02	E_09	Allosome	K = 6	-0.088611	Individual
KAZ14055	E_292	A	E	A_07	E_09	Autosomes	K = 6	-0.011694	Individual
KAZ14061	E_292	A	E	A_10	E_09	Allosome	K = 4	-0.098624	Individual
KAZ14001	E_292	A	E	A_01	E_09	Allosome	K = 5	 0.006702	Individual
KAZ14035	E_292	A	E	A_04	E_09	Allosome	K = 5	-0.060712	Individual
KAZ14054	E_295	A	E	A_06	E_10	Allosome	K = 4	-0.069088	Individual
KAZ14057	E_295	A	E	A_08	E_10	Autosomes	K = 3	-0.010019	Individual
KAZ14061	E_295	A	E	A_10	E_10	Autosomes	K = 7	-0.005231	Individual
KAZ14057	E_295	A	E	A_08	E_10	Allosome	K = 2	-0.046540	Individual
KAZ14054	E_295	A	E	A_06	E_10	Allosome	K = 7	-0.024268	Individual
KAZ14059	E_295	A	E	A_09	E_10	Allosome	K = 6	-0.056141	Individual
KAZ14059	E_295	A	E	A_09	E_10	Allosome	K = 7	 0.000758	Individual
KAZ14055	E_295	A	E	A_07	E_10	Autosomes	K = 7	 0.003391	Individual
KAZ14061	E_295	A	E	A_10	E_10	Autosomes	K = 2	-0.000876	Individual
KAZ14057	E_295	A	E	A_08	E_10	Allosome	K = 3	-0.065200	Individual
KAZ14054	E_295	A	E	A_06	E_10	Autosomes	K = 5	-0.008905	Individual
KAZ14054	E_295	A	E	A_06	E_10	Allosome	K = 3	-0.069115	Individual
KAZ14032	E_295	A	E	A_03	E_10	Allosome	K = 7	 0.012937	Individual
KAZ14032	E_295	A	E	A_03	E_10	Allosome	K = 3	-0.048998	Individual
KAZ14061	E_295	A	E	A_10	E_10	Autosomes	K = 5	-0.005231	Individual
KAZ14003	E_295	A	E	A_02	E_10	Autosomes	K = 3	-0.003975	Individual
KAZ14054	E_295	A	E	A_06	E_10	Autosomes	K = 3	-0.008905	Individual
KAZ14032	E_295	A	E	A_03	E_10	Autosomes	K = 2	 0.006798	Individual
KAZ14003	E_295	A	E	A_02	E_10	Allosome	K = 5	-0.006090	Individual
KAZ14055	E_295	A	E	A_07	E_10	Allosome	K = 6	-0.035376	Individual
KAZ14032	E_295	A	E	A_03	E_10	Autosomes	K = 7	 0.002688	Individual
KAZ14059	E_295	A	E	A_09	E_10	Autosomes	K = 3	-0.005829	Individual
KAZ14055	E_295	A	E	A_07	E_10	Autosomes	K = 5	 0.003391	Individual
KAZ14061	E_295	A	E	A_10	E_10	Allosome	K = 6	-0.055440	Individual
KAZ14032	E_295	A	E	A_03	E_10	Allosome	K = 6	-0.048916	Individual
KAZ14035	E_295	A	E	A_04	E_10	Allosome	K = 6	-0.100966	Individual
KAZ14057	E_295	A	E	A_08	E_10	Autosomes	K = 4	-0.010019	Individual
KAZ14054	E_295	A	E	A_06	E_10	Allosome	K = 2	-0.042096	Individual
KAZ14003	E_295	A	E	A_02	E_10	Autosomes	K = 5	-0.003975	Individual
KAZ14003	E_295	A	E	A_02	E_10	Autosomes	K = 2	-0.000288	Individual
KAZ14061	E_295	A	E	A_10	E_10	Autosomes	K = 4	-0.005231	Individual
KAZ14053	E_295	A	E	A_05	E_10	Allosome	K = 7	-0.055272	Individual
KAZ14001	E_295	A	E	A_01	E_10	Autosomes	K = 2	-0.002475	Individual
KAZ14059	E_295	A	E	A_09	E_10	Autosomes	K = 6	-0.005829	Individual
KAZ14053	E_295	A	E	A_05	E_10	Allosome	K = 5	-0.086990	Individual
KAZ14055	E_295	A	E	A_07	E_10	Autosomes	K = 4	 0.003391	Individual
KAZ14001	E_295	A	E	A_01	E_10	Allosome	K = 3	-0.041412	Individual
KAZ14035	E_295	A	E	A_04	E_10	Autosomes	K = 4	-0.000020	Individual
KAZ14032	E_295	A	E	A_03	E_10	Autosomes	K = 5	 0.002688	Individual
KAZ14032	E_295	A	E	A_03	E_10	Allosome	K = 4	-0.048848	Individual
KAZ14032	E_295	A	E	A_03	E_10	Autosomes	K = 3	 0.002688	Individual
KAZ14053	E_295	A	E	A_05	E_10	Autosomes	K = 6	-0.005737	Individual
KAZ14032	E_295	A	E	A_03	E_10	Allosome	K = 2	-0.030387	Individual
KAZ14059	E_295	A	E	A_09	E_10	Allosome	K = 5	-0.056119	Individual
KAZ14061	E_295	A	E	A_10	E_10	Autosomes	K = 6	-0.005231	Individual
KAZ14059	E_295	A	E	A_09	E_10	Allosome	K = 3	-0.056158	Individual
KAZ14053	E_295	A	E	A_05	E_10	Allosome	K = 3	-0.087014	Individual
KAZ14035	E_295	A	E	A_04	E_10	Autosomes	K = 2	 0.003532	Individual
KAZ14053	E_295	A	E	A_05	E_10	Autosomes	K = 4	-0.005737	Individual
KAZ14057	E_295	A	E	A_08	E_10	Autosomes	K = 2	-0.006317	Individual
KAZ14054	E_295	A	E	A_06	E_10	Autosomes	K = 2	-0.004979	Individual
KAZ14055	E_295	A	E	A_07	E_10	Allosome	K = 5	-0.035345	Individual
KAZ14054	E_295	A	E	A_06	E_10	Autosomes	K = 4	-0.008905	Individual
KAZ14003	E_295	A	E	A_02	E_10	Allosome	K = 7	 0.062370	Individual
KAZ14061	E_295	A	E	A_10	E_10	Allosome	K = 7	 0.009192	Individual
KAZ14059	E_295	A	E	A_09	E_10	Autosomes	K = 4	-0.005829	Individual
KAZ14001	E_295	A	E	A_01	E_10	Allosome	K = 6	-0.041261	Individual
KAZ14001	E_295	A	E	A_01	E_10	Autosomes	K = 6	-0.006608	Individual
KAZ14054	E_295	A	E	A_06	E_10	Autosomes	K = 6	-0.008905	Individual
KAZ14053	E_295	A	E	A_05	E_10	Allosome	K = 2	-0.061280	Individual
KAZ14035	E_295	A	E	A_04	E_10	Allosome	K = 2	-0.062990	Individual
KAZ14057	E_295	A	E	A_08	E_10	Allosome	K = 5	-0.065138	Individual
KAZ14035	E_295	A	E	A_04	E_10	Allosome	K = 4	-0.101012	Individual
KAZ14053	E_295	A	E	A_05	E_10	Autosomes	K = 7	-0.005737	Individual
KAZ14035	E_295	A	E	A_04	E_10	Autosomes	K = 7	-0.000020	Individual
KAZ14055	E_295	A	E	A_07	E_10	Allosome	K = 4	-0.035340	Individual
KAZ14053	E_295	A	E	A_05	E_10	Allosome	K = 4	-0.086990	Individual
KAZ14057	E_295	A	E	A_08	E_10	Autosomes	K = 5	-0.010019	Individual
KAZ14061	E_295	A	E	A_10	E_10	Autosomes	K = 3	-0.005231	Individual
KAZ14057	E_295	A	E	A_08	E_10	Autosomes	K = 6	-0.010019	Individual
KAZ14053	E_295	A	E	A_05	E_10	Allosome	K = 6	-0.086942	Individual
KAZ14059	E_295	A	E	A_09	E_10	Allosome	K = 4	-0.056117	Individual
KAZ14003	E_295	A	E	A_02	E_10	Autosomes	K = 4	-0.003975	Individual
KAZ14057	E_295	A	E	A_08	E_10	Allosome	K = 6	-0.065228	Individual
KAZ14032	E_295	A	E	A_03	E_10	Allosome	K = 5	-0.048852	Individual
KAZ14055	E_295	A	E	A_07	E_10	Allosome	K = 3	-0.035342	Individual
KAZ14035	E_295	A	E	A_04	E_10	Allosome	K = 3	-0.101020	Individual
KAZ14003	E_295	A	E	A_02	E_10	Autosomes	K = 6	-0.003975	Individual
KAZ14001	E_295	A	E	A_01	E_10	Autosomes	K = 4	-0.006608	Individual
KAZ14057	E_295	A	E	A_08	E_10	Autosomes	K = 7	-0.010019	Individual
KAZ14035	E_295	A	E	A_04	E_10	Autosomes	K = 6	-0.000020	Individual
KAZ14032	E_295	A	E	A_03	E_10	Autosomes	K = 6	 0.002688	Individual
KAZ14055	E_295	A	E	A_07	E_10	Autosomes	K = 3	 0.003391	Individual
KAZ14053	E_295	A	E	A_05	E_10	Autosomes	K = 5	-0.005737	Individual
KAZ14054	E_295	A	E	A_06	E_10	Autosomes	K = 7	-0.008905	Individual
KAZ14061	E_295	A	E	A_10	E_10	Allosome	K = 5	-0.055428	Individual
KAZ14053	E_295	A	E	A_05	E_10	Autosomes	K = 2	-0.001898	Individual
KAZ14001	E_295	A	E	A_01	E_10	Allosome	K = 2	-0.016088	Individual
KAZ14057	E_295	A	E	A_08	E_10	Allosome	K = 7	 0.002244	Individual
KAZ14061	E_295	A	E	A_10	E_10	Allosome	K = 2	-0.025638	Individual
KAZ14032	E_295	A	E	A_03	E_10	Autosomes	K = 4	 0.002688	Individual
KAZ14003	E_295	A	E	A_02	E_10	Allosome	K = 4	-0.006086	Individual
KAZ14001	E_295	A	E	A_01	E_10	Autosomes	K = 3	-0.006608	Individual
KAZ14035	E_295	A	E	A_04	E_10	Allosome	K = 7	-0.029738	Individual
KAZ14054	E_295	A	E	A_06	E_10	Allosome	K = 5	-0.069089	Individual
KAZ14001	E_295	A	E	A_01	E_10	Allosome	K = 4	-0.041289	Individual
KAZ14001	E_295	A	E	A_01	E_10	Autosomes	K = 5	-0.006608	Individual
KAZ14003	E_295	A	E	A_02	E_10	Allosome	K = 6	-0.006155	Individual
KAZ14035	E_295	A	E	A_04	E_10	Autosomes	K = 3	-0.000020	Individual
KAZ14059	E_295	A	E	A_09	E_10	Autosomes	K = 2	-0.002327	Individual
KAZ14003	E_295	A	E	A_02	E_10	Allosome	K = 3	-0.006204	Individual
KAZ14001	E_295	A	E	A_01	E_10	Allosome	K = 7	 0.009042	Individual
KAZ14055	E_295	A	E	A_07	E_10	Allosome	K = 2	-0.006485	Individual
KAZ14001	E_295	A	E	A_01	E_10	Autosomes	K = 7	-0.006608	Individual
KAZ14055	E_295	A	E	A_07	E_10	Autosomes	K = 6	 0.003391	Individual
KAZ14059	E_295	A	E	A_09	E_10	Autosomes	K = 5	-0.005829	Individual
KAZ14059	E_295	A	E	A_09	E_10	Allosome	K = 2	-0.026397	Individual
KAZ14053	E_295	A	E	A_05	E_10	Autosomes	K = 3	-0.005737	Individual
KAZ14059	E_295	A	E	A_09	E_10	Autosomes	K = 7	-0.005829	Individual
KAZ14054	E_295	A	E	A_06	E_10	Allosome	K = 6	-0.069087	Individual
KAZ14001	E_295	A	E	A_01	E_10	Allosome	K = 5	-0.041288	Individual
KAZ14003	E_295	A	E	A_02	E_10	Allosome	K = 2	 0.034914	Individual
KAZ14055	E_295	A	E	A_07	E_10	Autosomes	K = 2	 0.006981	Individual
KAZ14035	E_295	A	E	A_04	E_10	Allosome	K = 5	-0.101011	Individual
KAZ14035	E_295	A	E	A_04	E_10	Autosomes	K = 5	-0.000020	Individual
KAZ14057	E_295	A	E	A_08	E_10	Allosome	K = 4	-0.065132	Individual
KAZ14061	E_295	A	E	A_10	E_10	Allosome	K = 3	-0.055500	Individual
KAZ14055	E_295	A	E	A_07	E_10	Allosome	K = 7	 0.008492	Individual
KAZ14003	E_295	A	E	A_02	E_10	Autosomes	K = 7	-0.003975	Individual
KAZ14061	E_295	A	E	A_10	E_10	Allosome	K = 4	-0.055426	Individual
KAZ14003	PDOM2022NLD0077M	A	F	A_02	F_01	Allosome	K = 4	-0.009877	Individual
KAZ14001	PDOM2022NLD0077M	A	F	A_01	F_01	Autosomes	K = 7	-0.001061	Individual
KAZ14055	PDOM2022NLD0077M	A	F	A_07	F_01	Allosome	K = 2	 0.036259	Individual
KAZ14055	PDOM2022NLD0077M	A	F	A_07	F_01	Allosome	K = 6	 0.024903	Individual
KAZ14001	PDOM2022NLD0077M	A	F	A_01	F_01	Autosomes	K = 2	-0.000565	Individual
KAZ14001	PDOM2022NLD0077M	A	F	A_01	F_01	Allosome	K = 4	-0.009147	Individual
KAZ14061	PDOM2022NLD0077M	A	F	A_10	F_01	Allosome	K = 2	-0.005283	Individual
KAZ14032	PDOM2022NLD0077M	A	F	A_03	F_01	Autosomes	K = 6	 0.001092	Individual
KAZ14053	PDOM2022NLD0077M	A	F	A_05	F_01	Autosomes	K = 4	-0.000921	Individual
